order_number,discount_code,created_at,lineitem_name,athlete_name,product_name,is_game_jersey,has_jersey20,base_royalty,final_royalty,month_year,import_id
#2103,JERSEY20,11/6/2025 16:57,Jaylen Biggers | Game Day Jersey,Jaylen Biggers,Game Day Jersey,TRUE,TRUE,10,0,2025-11,#2103_0_1762470585406
#2102,None,11/6/2025 9:30,Micah Stine | Game Day Jersey,Micah Stine,Game Day Jersey,TRUE,FALSE,10,10,2025-11,#2102_0_1762470585406
#2101,None,11/6/2025 2:38,Miriangelis Rivera - Hiraldo | Jersey Style Snapback Hat - Black / Gray / Gray,Miriangelis Rivera - Hiraldo,Jersey Style Snapback Hat - Black / Gray / Gray,FALSE,FALSE,5,5,2025-11,#2101_0_1762470585406
#2101,None,11/6/2025 2:38,Miriangelis Rivera - Hiraldo | Jersey Style Shirt - Royal,Miriangelis Rivera - Hiraldo,Jersey Style Shirt - Royal,FALSE,FALSE,5,5,2025-11,#2101_1_1762470585406
#2101,None,11/6/2025 2:38,Miriangelis Rivera - Hiraldo | Jersey Style Shirt - Royal,Miriangelis Rivera - Hiraldo,Jersey Style Shirt - Royal,FALSE,FALSE,5,5,2025-11,#2101_2_1762470585406
#2100,None,11/5/2025 22:42,Presley Calhoun | Jersey Style Shirt - Royal,Presley Calhoun,Jersey Style Shirt - Royal,FALSE,FALSE,5,5,2025-11,#2100_0_1762470585406
#2100,None,11/5/2025 22:42,Presley Calhoun | Game Day Jersey,Presley Calhoun,Game Day Jersey,TRUE,FALSE,10,10,2025-11,#2100_1_1762470585406
#2099,JERSEY20,11/5/2025 17:28,Ariah Mervilus | Jersey Style Hoodie - Black,Ariah Mervilus,Jersey Style Hoodie - Black,FALSE,TRUE,5,0,2025-11,#2099_0_1762470585406
#2098,None,11/5/2025 10:18,Astou Diongue | Game Day Jersey,Astou Diongue,Game Day Jersey,TRUE,FALSE,10,10,2025-11,#2098_0_1762470585406
#2097,None,11/4/2025 14:44,Ireland Riley | Game Day Jersey,Ireland Riley,Game Day Jersey,TRUE,FALSE,10,10,2025-11,#2097_0_1762470585406
#2096,None,11/3/2025 22:26,Corey Boulden | Jersey Style Hoodie - Black,Corey Boulden,Jersey Style Hoodie - Black,FALSE,FALSE,5,5,2025-11,#2096_0_1762470585406
#2095,None,11/3/2025 18:03,Shai Ring | Jersey Style Shirt - Black,Shai Ring,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-11,#2095_0_1762470585406
#2094,None,11/1/2025 20:03,Elijah Newsome | Jersey Style Long Sleeve Shirt - Navy,Elijah Newsome,Jersey Style Long Sleeve Shirt - Navy,FALSE,FALSE,5,5,2025-11,#2094_0_1762470585406
#2094,None,11/1/2025 20:03,Elijah Newsome | Jersey Style Long Sleeve Shirt - Navy,Elijah Newsome,Jersey Style Long Sleeve Shirt - Navy,FALSE,FALSE,5,5,2025-11,#2094_1_1762470585406
#2093,None,10/31/2025 19:55,Evan Bates | Game Day Jersey,Evan Bates,Game Day Jersey,TRUE,FALSE,10,10,2025-10,#2093_0_1762470585406
#2092,None,10/31/2025 19:22,Evan Bates | Jersey Style Shirt - Black,Evan Bates,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-10,#2092_0_1762470585406
#2091,None,10/31/2025 16:36,Eli Brooks | Game Day Jersey,Eli Brooks,Game Day Jersey,TRUE,FALSE,10,10,2025-10,#2091_0_1762470585406
#2090,None,10/31/2025 13:44,Michael Calhoun | Jersey Style Reversible Bucket Hat,Michael Calhoun,Jersey Style Reversible Bucket Hat,FALSE,FALSE,5,5,2025-10,#2090_0_1762470585406
#2089,None,10/31/2025 1:48,Tre Faison | Jersey Style Hoodie - Navy Blazer,Tre Faison,Jersey Style Hoodie - Navy Blazer,FALSE,FALSE,5,5,2025-10,#2089_0_1762470585406
#2089,None,10/31/2025 1:48,Tre Faison | Game Day Jersey,Tre Faison,Game Day Jersey,TRUE,FALSE,10,10,2025-10,#2089_1_1762470585406
#2088,None,10/30/2025 16:18,Kimberly Cruz | Jersey Style Long Sleeve Shirt - White,Kimberly Cruz,Jersey Style Long Sleeve Shirt - White,FALSE,FALSE,5,5,2025-10,#2088_0_1762470585406
#2087,None,10/30/2025 11:07,Presley Calhoun | Jersey Style Hoodie - Team Royal,Presley Calhoun,Jersey Style Hoodie - Team Royal,FALSE,FALSE,5,5,2025-10,#2087_0_1762470585406
#2086,None,10/30/2025 10:51,Tre Faison | Jersey Style Long Sleeve Shirt - Navy,Tre Faison,Jersey Style Long Sleeve Shirt - Navy,FALSE,FALSE,5,5,2025-10,#2086_0_1762470585406
#2085,None,10/30/2025 2:59,Jared Hodgson | Jersey Style Long Sleeve Shirt - Black,Jared Hodgson,Jersey Style Long Sleeve Shirt - Black,FALSE,FALSE,5,5,2025-10,#2085_0_1762470585406
#2085,None,10/30/2025 2:59,Jared Hodgson | Jersey Style Shirt - Black,Jared Hodgson,Jersey Style Shirt - Black,FALSE,FALSE,5,5,2025-10,#2085_1_1762470585406
#2084,JERSEY20,10/29/2025 15:54,Kaden Yarborough | Jersey Style Hoodie - Black,Kaden Yarborough,Jersey Style Hoodie - Black,FALSE,TRUE,5,0,2025-10,#2084_0_1762470585406
#2084,JERSEY20,10/29/2025 15:54,Kaden Yarborough | Jersey Style Hoodie - Black,Kaden Yarborough,Jersey Style Hoodie - Black,FALSE,TRUE,5,0,2025-10,#2084_1_1762470585406
#2084,JERSEY20,10/29/2025 15:54,Kaden Yarborough | Jersey Style Stainless Steel Water Bottle,Kaden Yarborough,Jersey Style Stainless Steel Water Bottle,FALSE,TRUE,5,0,2025-10,#2084_2_1762470585406
#2084,JERSEY20,10/29/2025 15:54,Kaden Yarborough | Jersey Style Long Sleeve Shirt - Black / No Back Print,Kaden Yarborough,Jersey Style Long Sleeve Shirt - Black / No Back Print,FALSE,TRUE,5,0,2025-10,#2084_3_1762470585406
#2083,None,10/28/2025 19:21,Antonio Foxwell | Jersey Style Long Sleeve Shirt - Black,Antonio Foxwell,Jersey Style Long Sleeve Shirt - Black,FALSE,FALSE,5,5,2025-10,#2083_0_1762470585406
#2082,None,10/28/2025 14:48,Bella Stermer | Jersey Style Dad Hat - Black,Bella Stermer,Jersey Style Dad Hat - Black,FALSE,FALSE,5,5,2025-10,#2082_0_1762470585406
#2081,None,10/28/2025 11:28,Bella Stermer | Jersey Style Long Sleeve Shirt - Black,Bella Stermer,Jersey Style Long Sleeve Shirt - Black,FALSE,FALSE,5,5,2025-10,#2081_0_1762470585406
#2080,None,10/27/2025 20:47,Bella Stermer | Jersey Style Long Sleeve Shirt - Black,Bella Stermer,Jersey Style Long Sleeve Shirt - Black,FALSE,FALSE,5,5,2025-10,#2080_0_1762470585406
#2079,JERSEY20,10/26/2025 17:25,Michael Calhoun | Jersey Style Hoodie - Team Royal,Michael Calhoun,Jersey Style Hoodie - Team Royal,FALSE,TRUE,5,0,2025-10,#2079_0_1762470585406
#2078,None,10/26/2025 17:18,Michael Calhoun | Jersey Style Hoodie - Team Royal,Michael Calhoun,Jersey Style Hoodie - Team Royal,FALSE,FALSE,5,5,2025-10,#2078_0_1762470585406
#2077,JERSEY20,10/26/2025 12:25,Jaylen Biggers | Game Day Jersey,Jaylen Biggers,Game Day Jersey,TRUE,TRUE,10,0,2025-10,#2077_0_1762470585406
#2076,JERSEY20,10/24/2025 17:26,Katelen Brooks | Jersey Style Long Sleeve Shirt - Black,Katelen Brooks,Jersey Style Long Sleeve Shirt - Black,FALSE,TRUE,5,0,2025-10,#2076_0_1762470585406
#2075,JERSEY20,10/24/2025 16:54,Katelen Brooks | Jersey Style Shirt - Black,Katelen Brooks,Jersey Style Shirt - Black,FALSE,TRUE,5,0,2025-10,#2075_0_1762470585406
#2074,None,10/24/2025 8:57,Parker Elam | Jersey Style Hoodie - Black,Parker Elam,Jersey Style Hoodie - Black,FALSE,FALSE,5,5,2025-10,#2074_0_1762470585406
#2073,None,10/23/2025 18:51,Alana Henderson | Jersey Style Hoodie - Black,Alana Henderson,Jersey Style Hoodie - Black,FALSE,FALSE,5,5,2025-10,#2073_0_1762470585406
#2072,None,10/21/2025 17:37,Michael Calhoun | Jersey Style Performance Shorts,Michael Calhoun,Jersey Style Performance Shorts,FALSE,FALSE,5,5,2025-10,#2072_0_1762470585406
#2071,None,10/21/2025 16:27,Michael Calhoun | Jersey Style Youth Hoodie - Black,Michael Calhoun,Jersey Style Youth Hoodie - Black,FALSE,FALSE,5,5,2025-10,#2071_0_1762470585406
#2070,None,10/21/2025 14:11,Michael Calhoun | Jersey Style Youth Hoodie - Black,Michael Calhoun,Jersey Style Youth Hoodie - Black,FALSE,FALSE,5,5,2025-10,#2070_0_1762470585406
#2069,None,10/21/2025 12:42,Michael Calhoun | Jersey Style Shirt - Royal,Michael Calhoun,Jersey Style Shirt - Royal,FALSE,FALSE,5,5,2025-10,#2069_0_1762470585406
#2068,None,10/21/2025 1:37,Xavier Exantus | Jersey Style Women’s High-Waisted Tee - Vintage Black,Xavier Exantus,Jersey Style Women’s High-Waisted Tee - Vintage Black,FALSE,FALSE,5,5,2025-10,#2068_0_1762470585407
